,RB1,CDH1,PTEN,BRCA2,CDKN2A,TP53,CTNNB1,CCNE1,CCND1,CDH2,CDH3,ERBB2,ERBB3
TCGA-A2-A0D4-01,-0.20820999999999998,1.3037,0.15614,-0.080501,-0.51198,-0.35674,0.42948000000000003,-0.8388700000000001,0.25674,-0.25553000000000003,-0.27083,0.27637,0.34985
TCGA-A2-A0EO-01,-0.052898,0.046899,0.31854,-0.12677,1.0962,0.017088,-0.11838,-1.0346,0.056516,-0.16604000000000002,-0.16058,0.3543,1.0282
TCGA-A2-A0EP-01,0.1186,-2.0916,-0.9204100000000001,0.18481,-0.78622,-0.67105,-2.0642,-0.9584600000000001,0.29802,0.18017,0.13395,-0.72312,-0.44688
TCGA-A2-A0EQ-01,-0.080523,-0.26027,0.60761,0.0093037,-0.31706,0.13821,-0.77125,-0.9445600000000001,-0.00042,-0.022715,-0.032661,-0.1297,0.10049
TCGA-A2-A0ER-01,0.42623999999999995,-0.28515999999999997,-0.56647,0.13909000000000002,-0.6762100000000001,0.20285999999999998,-0.73516,-1.0776,0.43737,0.62693,-0.19083,-0.08905700000000001,1.3323
TCGA-A2-A0ES-01,0.32515,-0.40041,-0.35964,-0.034212,0.009566799999999999,0.011021,-0.75125,-1.0282,0.27919,0.18967,-0.16105,0.21611,1.082
TCGA-A2-A0EU-01,0.38445,-0.30444,-0.89784,0.16949,-0.14247,-0.082461,-0.9546100000000001,-0.67905,0.46928000000000003,0.50239,-0.069164,-0.54792,1.0263
TCGA-A2-A0EV-01,-0.07199900000000001,-0.51199,0.1497,-0.36386,0.63968,-0.93466,-0.78482,-0.78895,0.12065999999999999,0.052985000000000004,-0.016544,0.22453,0.31990999999999997
TCGA-A2-A0EW-01,0.41712,-1.123,0.34636999999999996,-0.09085,0.37721,-0.64623,-0.96314,-0.73269,0.5281100000000001,0.3677,0.093066,-0.34235,1.0694
TCGA-A2-A0EX-01,0.15521,-2.1446,0.092843,-0.18997,1.0184,0.086405,-1.3619,-1.1264,0.14561,0.15402000000000002,-0.22007,0.0013613,0.56307
TCGA-A2-A0EY-01,0.043275,0.48906000000000005,-0.042428,-0.022675999999999998,0.63438,0.13037,-0.48708,-0.9696,0.076692,-0.10835,0.079189,2.8625,0.18923
TCGA-A2-A0ST-01,-0.11435,-0.40157,0.38242,0.11412,1.2859,0.34279,-0.8367600000000001,0.5453100000000001,-0.016906,0.17040999999999998,0.14932,-1.1034,-0.30551
TCGA-A2-A0SU-01,0.021051,-0.05126699999999999,0.49262,-0.12105,0.37675,-0.37096,-0.038859,-0.71687,0.15762,-0.18909,-0.17340999999999998,0.8219799999999999,0.6241
TCGA-A2-A0SV-01,-0.18969,0.36941,-0.13825,-0.08498700000000001,0.31926,0.22676999999999997,-0.38658000000000003,-0.52412,-0.056536,-0.16249,-0.05995399999999999,0.070393,0.04152
TCGA-A2-A0SW-01,-0.16426,0.31849,-0.057805999999999996,-0.08344,0.33769,0.25613,-0.15131,-0.5333,-0.011384,-0.20281,-0.014426,0.029268000000000002,0.080717
TCGA-A2-A0SX-01,0.023981,-0.63648,0.37701999999999997,-0.27326,1.5376,0.30233000000000004,-2.0331,0.54369,-0.095198,0.0148,0.0014145,-0.4746,0.20755
