,ascore,dscore,escore,fscore,ncbiTaxonId,nscore,preferredName_A,preferredName_B,pscore,score,stringId_A,stringId_B,tscore
3058,0.0,0.0,0.0,0.0,9606,0.0,CDH2,CORT,0.0,0.518,ENSP00000269141,ENSP00000366248,0.518
3059,0.079,0.9,0.0,0.0,9606,0.0,CDH2,CKAP4,0.0,0.904,ENSP00000269141,ENSP00000367265,0.0
3060,0.0,0.0,0.064,0.0,9606,0.0,CDH2,BMP2,0.0,0.647,ENSP00000269141,ENSP00000368104,0.638
3061,0.061,0.9,0.0,0.0,9606,0.0,CDH2,CHGB,0.0,0.905,ENSP00000269141,ENSP00000368244,0.073
3062,0.098,0.0,0.0,0.0,9606,0.0,CDH2,NRCAM,0.0,0.43,ENSP00000269141,ENSP00000368314,0.395
3063,0.0,0.0,0.0,0.0,9606,0.0,CDH2,RGCC,0.0,0.497,ENSP00000269141,ENSP00000368664,0.497
3064,0.0,0.0,0.0,0.0,9606,0.0,CDH2,FOXO1,0.0,0.507,ENSP00000269141,ENSP00000368880,0.507
3065,0.0,0.0,0.056,0.0,9606,0.0,CDH2,DSP,0.0,0.681,ENSP00000269141,ENSP00000369129,0.676
3066,0.078,0.0,0.05,0.0,9606,0.0,CDH2,TEK,0.0,0.498,ENSP00000269141,ENSP00000369375,0.473
3067,0.0,0.9,0.0,0.0,9606,0.0,CDH2,AMELX,0.0,0.905,ENSP00000269141,ENSP00000370088,0.09
3068,0.0,0.0,0.0,0.0,9606,0.0,CDH2,CDX2,0.0,0.543,ENSP00000269141,ENSP00000370408,0.542
3069,0.076,0.9,0.0,0.0,9606,0.0,CDH2,IGFBP3,0.0,0.923,ENSP00000269141,ENSP00000370473,0.236
3070,0.0,0.9,0.0,0.0,9606,0.0,CDH2,CDH12,0.0,0.908,ENSP00000269141,ENSP00000371689,0.089208
3071,0.0,0.9,0.0,0.0,9606,0.0,CDH2,MSLN,0.0,0.918,ENSP00000269141,ENSP00000372313,0.223
3072,0.06,0.9,0.0,0.0,9606,0.0,CDH2,GOLM1,0.0,0.948,ENSP00000269141,ENSP00000373364,0.499
3073,0.0,0.0,0.0,0.0,9606,0.0,CDH2,KRT18,0.0,0.577,ENSP00000269141,ENSP00000373487,0.577
3074,0.062,0.0,0.388,0.0,9606,0.0,CDH2,PKP4,0.0,0.646,ENSP00000269141,ENSP00000374409,0.434
3075,0.0,0.0,0.0,0.0,9606,0.0,CDH2,MLLT4,0.0,0.592,ENSP00000269141,ENSP00000375960,0.592
3076,0.063,0.9,0.418,0.0,9606,0.0,CDH2,CDON,0.0,0.967,ENSP00000269141,ENSP00000376458,0.469
3077,0.0,0.9,0.816,0.0,9606,0.0,CDH2,JUP,0.0,0.994,ENSP00000269141,ENSP00000377508,0.708
3078,0.0,0.0,0.782,0.0,9606,0.0,CDH2,PC,0.0,0.782,ENSP00000269141,ENSP00000377532,0.0
3079,0.077,0.9,0.0,0.0,9606,0.0,CDH2,GPC3,0.0,0.92,ENSP00000269141,ENSP00000377836,0.21
3080,0.065,0.9,0.0,0.0,9606,0.0,CDH2,SPP1,0.0,0.947,ENSP00000269141,ENSP00000378517,0.48
3081,0.0,0.0,0.0,0.0,9606,0.0,CDH2,CLDN3,0.0,0.479,ENSP00000269141,ENSP00000378577,0.479
3082,0.0,0.9,0.387,0.0,9606,0.0,CDH2,KTN1,0.0,0.936,ENSP00000269141,ENSP00000378725,0.0
3083,0.048,0.0,0.0,0.0,9606,0.0,CDH2,MAPK8,0.0,0.701,ENSP00000269141,ENSP00000378974,0.698
3084,0.0,0.0,0.0,0.0,9606,0.0,CDH2,TRPS1,0.0,0.514,ENSP00000269141,ENSP00000379065,0.514
